FUENTE DE FINANCIAMIENTO,PROYECTO,CAPITULO,PARTIDA,DIVISION,DEPARTAMENTO,DESCRIPCION,INICIAL,ADECUACIONES,TRANSFERENCIAS,MODIFICADO,PRECOMPROMETIDO,COMPROMISO,GASTO,DISPONIBLE
Subsidio federal,51101001,MS,2110101,RUL,ORUL,Papeleria y Articulos de Oficina,40000,0,223192.22,263192.22,46674.87,0,72890.67,190301.55
Subsidio federal,51101001,MS,2140101,RUL,ORUL,Materiales y útiles para el procesamiento en equipos y bienes informáticos,7200,0,-7200,0,0,0,0,0
Subsidio federal,51101001,MS,2160101,RUL,ORUL,Material de limpieza,8700,0,-7860,840,840,0,840,0
Subsidio federal,51101001,MS,2210301,RUL,ORUL,Productos alimenticios para el personal que realiza labores en campo o de supervisión,22000,0,0,22000,1670,0,10020,11980
Subsidio federal,51101001,MS,2210401,RUL,ORUL,Productos alimenticios para el personal en las instalaciones,8000,0,0,8000,1600,0,6645.1,1354.9
Subsidio federal,51101001,MS,2230101,RUL,ORUL,Utensilios para el servicio de alimentación,0,0,400,400,0,0,305.88,94.12
Subsidio federal,51101001,MS,2610301,RUL,ORUL,"Combustibles, lubricantes y aditivos",70800,0,-9088,61712,3300.42,0,38558.58,23153.42
Subsidio federal,51101001,MS,2710101,RUL,ORUL,Ropa de trabajo,2500,0,0,2500,0,0,0,2500
Subsidio federal,51101001,MS,2940101,RUL,ORUL,Refacciones y Accesorios para equipo de cómputo,6000,0,-1023.8,4976.2,0,0,4921.93,54.27
Subsidio federal,51101001,MS,2960101,RUL,ORUL,Refacciones y Accesorios Menores de Equipo de transporte,18000,0,0,18000,0,0,16692.17,1307.83
Subsidio federal,51101001,SG,3180101,RUL,ORUL,Servicio postal,1200,0,0,1200,0,0,0,1200
Subsidio federal,51101001,SG,3360201,RUL,ORUL,Otros servicios comerciales,1400,0,0,1400,0,0,0,1400
Subsidio federal,51101001,SG,3360401,RUL,ORUL,Impresión y elaboración de material informativo derivado de la operación y administración,5000,0,0,5000,0,0,0,5000
Subsidio federal,51101001,SG,3410101,RUL,ORUL,Servicios bancarios y financieros,600,0,0,600,0,0,0,600
Subsidio federal,51101001,SG,3520101,RUL,ORUL,Mantenimiento y conservación de mobiliario y equipo de administración,15000,0,0,15000,0,0,0,15000
Subsidio federal,51101001,SG,3530101,RUL,ORUL,Mantenimiento y conservación de bienes informáticos,5000,0,0,5000,0,0,0,5000
Subsidio federal,51101001,SG,3550101,RUL,ORUL,Servicios de Mantenimiento de Transporte,15000,0,0,15000,3832.44,0,14332.44,667.56
Subsidio federal,51101001,SG,3710401,RUL,ORUL,Pasajes aéreos nacionales,20000,0,14698,34698,0,0,34698,0
Subsidio federal,51101001,SG,3710601,RUL,ORUL,Pasaje aéreos internacionales,20000,0,3202,23202,0,0,23202,0
